0	1	2	answer
启明学院的培养模式有何不同	启明学院有哪些培养模式？	33	为实践科学发展观，推动创新教育改革，落实启明学院人才培养模式创新实验区改革计划，培养拔尖创新人才。学校定期举办创新教育论坛。
启明学院有哪些培养模式？	启明学院有哪些培养模式？	33	教学委员会的职责是审议启明学院创新教育教学工作的重要环节（包括人才培养计划、课程标准、课程建设等）和有关教学工作，监督、指导启明学院的教学工作，促进启明学院创新教育教学工作的科学化决策，贯彻以学生为中心教育理念，加强与业界的紧密结合，保证拔尖创新人才的培养质量。
启明学院的机构	启明学院设有哪些机构？	34	"主任委员：林萍华

副主任委员：许晓东 马建辉 吴昌林

委员（按姓氏笔画为序）：马学礼 毛柏青 皮宇博 石长顺 刘 岩 刘海云 刘 斌 孙雅量 许明武 吴 枫 何俊佳 吴 波 吴雄文 张祥林 张 猛 杨晓非 周艳红 郑 军 秦肖臻 黄瑞光 曾 纳 熊曹水"
启明学院设有学术机构吗？	启明学院设有哪些机构？	34	"主任委员：吴昌林

执行主任委员：熊 蕊

副主任委员：叶贤基 吴 波 杨晓非 余龙江 郑俊杰

委员（按姓氏笔画为序）：

王燕舞 吕家高 刘海云 刘 斌 刘泽华 张克中 唐跃进

秦磊华 舒水明 程文青 程邦雄 樊自田 熊克兰（业界代表）"
启明学院的行政机构设置是怎么样的	启明学院设有哪些机构？	34	学习委员会成员由启明学院创新实验班、创新团队、学习特优生代表组成。
启明学院设有哪些机构？	启明学院设有哪些机构？	34	学习委员会的职责是了解和反映学校在拔尖创新人才培养中存在的问题；负责收集各类教学信息，定期向启明学院汇报，是学校、老师和学生中的信息枢纽；促进启明学院学生自主学习、自主设计、自主管理；围绕学生思想、校园生活、以及学生关注的话题开展广泛深入的调研，为相关部门和广大同学提供决策和成才成长服务。
启明学院的课程有哪些	​启明学院特别的课程涉及到哪些方面？	35	"主任委员：汪喆

副主任委员：刘友斌 郭龙

委员（按姓氏笔画排名）：

王欣 方志伟 田晓睿 刘文武 刘文浩 刘波 刘瑜博 李键铭 宋冠男 陈志群 罗清璟 袁园 桂翔 曹洋 彭斌 鲁运新"
启明学院有什么课程	​启明学院特别的课程涉及到哪些方面？	35	"主任委员：姜智滨

副主任委员：桂凯 黄俐杰 赵帅 何子同

委员（按姓氏笔画排名）：

方金霞 李振 李浩天 江子文 阮翔宇 杜诚博 杨旭 余扬 吴松燐 林龙 袁升 袁子琪 游浩然 路淑贞 蔡一凡 潘昭鸣"
​启明学院特别的课程涉及到哪些方面？	​启明学院特别的课程涉及到哪些方面？	35	校企合作委员会通过学院与企业界的深入合作，培养和挖掘学生主动实践能力和科技创新能力，推进学生科技创新成果或创意转化为现实生产力，为企业的技术进步、产业升级和人才培养提供智力支持。
启明学院的Dian团队是由哪个老师成立的？	启明学院的Dian团队是由谁成立的？	36	丝宝集团董事长梁亮胜先生
启明学院的Dian团队是由谁成立的？	启明学院的Dian团队是由谁成立的？	36	明德，厚学，求是，创新
启明学院的Dian团队导师有哪些？	启明学院的Dian团队有哪些导师？	37	育人为本、创新是魂、责任以行
启明学院的Dian团队有哪些导师？	启明学院的Dian团队有哪些导师？	37	咨询委员会 教学委员会 创新团队联盟委员会
启明学院有完成项目吗	启明学院的Dian团队目前大约已完成了多少项目？	38	2012-06-13 00:00:00
Dian团队已完成了多少项目？	启明学院的Dian团队目前大约已完成了多少项目？	38	"
2009年5月22日，启明学院基础课教学改革研讨会召开，启明机械创新基地、电工电子科技创新中心、Dian团队、计算材料科学与测量模拟中心、控制科学与工程系智能机器人及智能系统仿真科技创新基地、数模科技创新基地、华中科技大学物理实验创新基地、化学与化工学院创新基地、生命科学与技术学院大学生科技创新基地、经济学院大学生调查研究中心、新闻学院红树林策划创意团队、第一临床学院医用图像系统研究团队、基础医学院科技创新团队、联创团队、冰岩作坊、记者团、外国语学院3-C团队、GNG团队、新能源与节能减排"
启明学院的Dian团队目前大约已完成了多少项目？	启明学院的Dian团队目前大约已完成了多少项目？	38	点击浏览器的收藏按钮或者直接点击启明学院官网右上角的加入收藏即可
什么是启明学院Dian团队的定位？	启明学院Dian团队的定位是什么？	39	Qiming College of Huazhong University of Science  and Technology
启明学院Dian团队的定位是什么	启明学院Dian团队的定位是什么？	39	为加强与学校师生和社会的沟通与交流，倾听各方面意见和建议，查找和解决拔尖创新人才培养中的实际问题，营造良好的育人氛围，启明学院决定设立院长信箱（qiming@mail.hust.edu.cn）并对外公开。为充分发挥院长信箱的作用，加强管理，特制定本办法。详情见学校官网
启明学院Dian团队的定位是什么？	启明学院Dian团队的定位是什么？	39	"李培根，男，汉族，1948年生，湖北人。教授，博士生导师。中共十七大代表，第十一届全国人大代表。2003年12月当选为中国工程院院士，现任华中科技大学校长。
1981年在华中工学院（现华中科技大学）获得硕士学位，1983年赴美留学，1987年在威斯康辛-麦迪逊大学获得博士学位。
曾任华中科技大学机械学院院长、副校长，国家863／CIMS主题、国家863／机器人技术主题专家组成员，国家863先进制造及自动化领域专家委成员，现为中国机械工程学会副理事长，教育部机械工程教学指导委员会主任委员。"
启明之星是每年评选一次吗？	启明之星多长时间评选一次？	40	启明学院大学生志愿服务计划，创业红娘公益组织
启明之星多长时间评选一次？	启明之星多长时间评选一次？	40	启明学院的人才培养对象，是根据学生自愿的原则，从华中科技大学各年级学生中选拔具有创新意识和实践能力的高素质本科生。各院（系）学生创新团队和特优（长）生可进入启明学院。
2018创业武汉•华科启明之星EIR特训营室举办方是谁？	2018创业武汉•华科启明之星EIR特训营室友哪些单位举办的？	41	启明学院为若干创新实验班和学生团队提供政策支持和条件保障，包括：与业界紧密合作的创新实验班，基于项目的创新实验班，各学科提高班，医工理复合型人才创新实验班，本硕博连续培养创新实验班以及学生创新团队等。
2018创业武汉•华科启明之星EIR特训营室友哪些单位举办的？	2018创业武汉•华科启明之星EIR特训营室友哪些单位举办的？	41	启明学院为学生研究型学习、主动实践、创新训练、学术交流等活动提供自主发展的平台及各类资源，包括：综合类课程，方法类课程，特别外语训练环境，各种学术交流平台，实验（实践）研究平台，创业指导，为创新活动提供特别学分，向社会和业界推荐毕业生，对外联系教学及实践资源。
启明学院的特色班	启明学院有哪些实验班？	42	为保证接待效果，每批次接待来访人员原则上不超过30人，超过30人的单独批次接待。不足30人的，若干来访单位合并接待。详情请见 http://qiming.hust.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1114&wbnewsid=1226 。
启明学院实验班类别有哪些	启明学院有哪些实验班？	42	预约接待时，来访单位联系人员按照以下流程预约接待程序：来访单位填写来访信息登记表，连同来访函（单位盖章）扫描件发启明学院邮箱（邮箱地址附后）→启明学院审核并及时邮件反馈预约结果→双方电话沟通联系并拟定接待方案→双方领导确认接待方案→开出预约接待单→执行接待方案→相关资料存档。详情请见 http://qiming.hust.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1114&wbnewsid=1226 。
启明学院有哪些实验班？	启明学院有哪些实验班？	42	"刘玉，女，生于1957年5月，山西省人。中共党员，教授，硕士研究生导师，启明学院副院长。1984年9月毕业于华中理工大学通信与电子系统专业并留校任教。研究方向为计算机信息安全、嵌入式系统设计、多媒体通信技术。讲授《数据结构》、《软件技术》等课程。科研上，主持并完成的科研课题超过100项，科研经费超过1000万元。 [1] 
 其创建的本科人才孵化站（Dian团队）闻名全省，人才辈出，贝贝网成立9个月便成为独角兽 [2]  ，两名队员荣登福布斯“30位30岁以下创业者” [3]  …… 2003年获湖北省高教系统“三育人奖”，2004年荣获湖北省“五一劳动奖章”和“全国师德先进个人”。
 2015年3月，刘玉成立“创业红娘工作室”（后于2016年1月正式更名为“武汉市洪山区创业红娘公益服务中心”） [4]  ，义务为优创业项目与投资机构牵线搭桥。她以“人靠谱、事落实、有情怀”的扎实作风和出色业绩获得创投双方高度好评，迅速形成“创业红娘”新品牌。因对双创工作的突出贡献，荣登“中国好人榜”，并获“武汉市三八红旗手标兵”、“荆楚楷模”、“感动江城年度人物”、“长江日报年度人物”等称号，事迹先后被《光明日报》、《人民网》等多家媒体报道。"
启明学院有和企业合作过吗	启明学院有哪些校企合作？	43	美国斯坦福大学暑期/冬季双创课程学习,该项目浓缩了斯坦福大学最具特色和优势的创新与创业课程，结合斯坦福大学顶尖计算机、互联网、工程研究与商业平台，同时会根据学生和学校的背景定制化设计与学术配套相关的交流内容，以便同学深入了解斯坦福及硅谷文化，并充分探索斯坦福学校和硅谷地区最为著名的机构和企业,斯坦福大学，全称小利兰·斯坦福大学（Leland Stanford Junior University），于1891年由诗人加州参议院寄州长的铁路大亨利兰·斯坦福和他的妻子简·莱斯罗誉·斯坦福创办。这是为了纪念他们因伤寒耳语十六岁生日前夕去世的儿子（小利兰·斯坦福）。
启明学院有校企合作吗？	启明学院有哪些校企合作？	43	美国加州大学伯克利分校暑期/冬季双创课程学习,该项目浓缩了加州大学伯克利分校最为著名的工程与技术方向的课程，同时根据学生的课程定制化设计与学术匹配相关的交流内容，以便同学深入了解伯克利的技术成就及硅谷文化，并充分探索旧金山湾区和硅谷地区最为著名的机构和企业。专业核心课程由加州大学伯克利分校研究组设计、准备和讲授。每次的课后辅导，均由博士后研究员或博士生讲解。课程主题为前沿工程与技术发展为主题，氛围6-8个课题，帮助同学们在交流期间深入获取相关领域的研究成绩。加州大学伯克利分校（Cal）创建于1868年，是世界上最杰出及最负盛名的高等公立学府之一，也是加利福尼亚大学系统的第一所大学，更是美国大学协会的创始会员之一。
那些企业与启明学院合作过	启明学院有哪些校企合作？	43	美国哈佛大学暑期双创课程学习。本课程融合生物、医学、科技、商业四个主题,运用多层次渐进探究式的教学方法和基于项目的探究式学习，以学生自身的专业基础理论为基础，通过一系列的生命科学、前沿科技和商业应用的课程，灵活运用批判性思维，让学生了解前沿科技的发展动态，发掘自身潜能，培养学生勇于质疑的创新精神，使学生具备独立推理与反思、分析与解决间题的能力，激发学生的探究学习动机，为学生深造打下基础。哈佛大学( Harvard University)，简称哈佛，坐落于美国马萨诸塞州剑桥市，是一所享誉世界的私立研究型大学，是著名的常春藤联盟校成员。哈佛走出了8位美利坚合众国总统，上百位诺贝尔获得者曽在此工作、学习,其在文学、医学、法学、商学等多个领域拥有崇高的学术地位和广泛的影响力，被公认为是当今世界最顶尖的高等教育机构之一。
启明学院有哪些校企合作？	启明学院有哪些校企合作？	43	英国曼彻斯特大学暑期课程学习。英国曼彻斯特大学暑期课程学习项目，其课程的设计更偏重实际应用和职场指导。课程以小组项目方式完成实践，小组活动内容包括：互动交流，项目合作，团队精神。4周课程将获得曼彻斯特大学近20个学分。曼彻斯特大学（The University of Manchester是英国著名的六所“红砖大学”之一，全球一流的科研与教学机构之一，在国际上享有很高声誉，校友中共有25位诺贝尔奖得主。现任全职教职员中有3位诺贝尔奖得主，为全英之冠。曼彻斯特大学在2015/16QS世界大学排名中，位居欧洲第10名、全球第33名。
启明学院的知名校友	启明学院出了哪些知名成功创业人士？	44	密苏里科技大学EMC实验室暑期实习项目。密苏里科技大学电磁兼容实验室作为全美同类实验室中排名第一的科研机构，2013年11月与启明学院签订关于学生交流的协议，旨在加强高水平学生的培养，为学生培养提供多元化的培养方案。电磁兼容实验每年夏季负责接纳5～6名我校学生（以大三本科生为主）前往进行项目实习工作，实习时间不少于3个月。该项目获国家留学基金委资助。密苏里科技大学成立于1870年，是西密西西比地区第一所技术类学校。前身为密苏里矿业和冶金学院（Missouri School of Mines and Metallurgy）主要致力于采矿和冶金方面的研究。后逐步发展成为集土木、电子、机械、化工等等多学科于一体的综合性大学。其能源、土木、材料等学科处于全美前列，采矿工程学科排名全美第二，办学历史悠久，科研实力雄厚。
启明学院出了名人？	启明学院出了哪些知名成功创业人士？	44	休斯敦大学ECE系暑期实习项目。休斯敦大学ECE系实习项目源于我校电信系校友陈戟博士的大力推介，于2014年5月与启明学院签订关于学生交流的协议，旨在加强高水平学生的培养，休斯敦大学ECE系每年夏季负责接纳5～6名我校学生（以大三本科生为主）前往进行项目实习工作，实习时间不少于3个月。该项目获国家留学基金委资助。休斯敦大学University of Huston成立于1927年，坐落在休斯敦市中心，有81年历史，在教学和研究方面是德州最好的大学之一。该校以研究多样性著称于全美。
启明学院有哪些优秀毕业生	启明学院出了哪些知名成功创业人士？	44	罗斯豪曼科技夏令营源于我校校友宋建建教授的联系，自2010年起，启明学院每年暑假选派一名老师和七名学生赴美参加该校为期三周极富特色的暑期科技夏令营活动。师生们以观察员身份亲身感受美国工程名校“主动实践”的教学方式，在美方教师指导下，协助美国学生利用三周时间完成一个工程实践项目。在合作与交流中，促进东西方文化融合，培养学生国际视野。罗斯豪曼理工学院（Rose–Hulman Institute of Technology）位于美国印第安纳州Terre Haute市，成立于1874年，其前身为Rose Polytechnic Institute，是一所私立的四年制理工科类学校。超一流理工学院，在全世界理工教育界都享有极高声誉。其本科生工程教育连续14年被US News & World Report评为全美第一，被Barron’S Guide评为美国最具竞争力的大学。
启明学院出了哪些知名成功创业人士？	启明学院出了哪些知名成功创业人士？	44	华中科技大学机械学院硕士研究生毕业，前宝洁中国区市场总监。知青年教育创始人，参与创办FabLab Wuhan与FabLab HUST，韩青江长期从事青少年创客教育和研究。《实现创意与梦想：数字化个人制造How To Make Almost Anything》的授课教师
启明学院是如何与国际接轨的	启明学院有哪些国际交流活动？	45	
启明学院有国际交流活动吗？	启明学院有哪些国际交流活动？	45	
启明学院有哪些国际交流活动？	启明学院有哪些国际交流活动？	45	
启明学院有电工电子实验平台吗？	启明学院有哪些创客实践平台？	46	
启明学院有哪些创客实践平台？	启明学院有哪些创客实践平台？	46	
启明学院的网站上有师生交流系统吗?	启明学院的网站上设置了哪些常用系统?	47	
启明学院的网站上设置了哪些常用系统?	启明学院的网站上设置了哪些常用系统?	47	
刘玉担任过启明学院领导吗？	启明学院的历任领导有哪些？	48	
启明学院的历任领导有哪些？	启明学院的历任领导有哪些？	48	
启明学院的Dian团队有哪些公益活动？	启明学院的Dian团队有哪些公益活动？	49	
启明学院《工程导论》课程的主讲教师有谁？	启明学院《工程导论》课程的主讲教师有谁？	50	
如何联系到启明学院	启明学院的联系方式是什么？	51	
如何联系启明学院	启明学院的联系方式是什么？	51	
启明学院的联系方式是什么？	启明学院的联系方式是什么？	51	
启明学院创新成果有哪些？	启明学院创新成果有哪些？	52	
启明学院的特优生联合会是什么？	启明学院的特优生联合会是什么？	53	
启明学院有哪些学生组织？	启明学院有哪些学生组织？	54	
启明学院有哪些学术机构？	启明学院有哪些学术机构？	55	
启明学院校企合作委员会是什么？	启明学院校企合作委员会是什么？	56	
启明学院为什么要举办创新论坛？	启明学院为什么要举办创新论坛？	57	
启明学院有官网吗	启明学院官网的网址？	58	
启明学院官网的网址？	启明学院官网的网址？	58	
启明学院有哪些创新实验班	启明学院的创新实验班	59	
启明有创新班吗	启明学院的创新实验班	59	
启明学院的创新实验班	启明学院的创新实验班	59	
启明有卓越计划实验班吗	卓越工程师计划实验班	60	
卓越工程师计划实验班	卓越工程师计划实验班	60	
启明学院有哪些行政机构	启明学院的行政机构	61	
启明学院的行政机构	启明学院的行政机构	61	
启明学院有学生组织吗	启明学院的学生组织	62	
启明学院的学生组织	启明学院的学生组织	62	
启明学院有哪些专利	启明学院2011年的专利	63	
启明学院2011年的专利	启明学院2011年的专利	63	
启明学院2012年的专利	启明学院2012年的专利	64	
启明学院有哪些有趣的活动	启明学院的沙龙活动	65	
启明学院的沙龙活动	启明学院的沙龙活动	65	
启明学院特优生导师配备	启明学院特优生导师配备	66	
启明学院的学科竞赛	启明学院做过哪些学科竞赛	67	
启明学院做过哪些学科竞赛	启明学院做过哪些学科竞赛	67	
启明学院有哪些科研成果	启明学院有哪些学术成果	68	
启明学院有哪些学术成果	启明学院有哪些学术成果	68	
入选全校示范性学生创新团队名单	入选全校示范性学生创新团队名单	69	
创新与创业管理辅修专业	创新与创业管理辅修专业	70	
启明学院的邮编是多少？	启明学院的邮编是多少？	71	
启明学院的电话是多少？	启明学院的电话是多少？	72	
启明学院的传真是多少？	启明学院的传真是多少？	73	
启明学院的邮箱是多少？	启明学院的邮箱是多少？	74	
启明学院的院刊网址	启明学院院刊怎么查看？	75	
启明学院院刊怎么查看？	启明学院院刊怎么查看？	75	
启明学院特别课程创业概论的介绍	启明学院特别课程创业概论的介绍	76	
启明学院现任教学委员会成员有哪些？	启明学院现任教学委员会成员有哪些？	77	
启明学院现任学习委员会成员有哪些？	启明学院现任学习委员会成员有哪些？	78	
启明学院与台湾哪所高校进行交流互动？	启明学院与台湾哪所高校进行交流互动？	79	
启明学院与台湾大同大学合作开设了什么课程？	启明学院与台湾大同大学合作开设了什么课程？	80	
启明学院至今位置已经举办过多少期教育论坛活动了？	启明学院至今位置已经举办过多少期教育论坛活动了？	81	
启明学院第十期教育论坛有哪些重量级人物出席了？	启明学院第十期教育论坛有哪些重量级人物出席了？	82	
启明学院举办教育论坛的目的是什么？	启明学院举办教育论坛的目的是什么？	83	
启明学院有创新成果大致有哪几种	启明学院有创新成果大致有哪几种	84	
启明学院有什么突出的表现	启明学院在历年学科竞赛有哪些好的成绩	85	
启明学院在历年学科竞赛有哪些好的成绩	启明学院在历年学科竞赛有哪些好的成绩	85	
启明学院种子班是啥	启明学院种子班是啥	86	
如何才能成为启明学院的启明之星	启明学院启明之星标准	87	
启明学院启明之星标准	启明学院启明之星标准	87	
启明之星有什么好处	" 获得""启明之星""称号的学生荣誉与奖励"	88	
" 获得""启明之星""称号的学生荣誉与奖励"	" 获得""启明之星""称号的学生荣誉与奖励"	88	
启明学院创新论坛作用	启明学院创新论坛作用	89	
启明学院教学委员会的职责	启明学院教学委员会的职责	90	
启明学院第一届教学委员会名单有谁？	启明学院第一届教学委员会名单有谁？	91	
启明学院现今的教学委员会有谁？	启明学院现今的教学委员会有谁？	92	
启明学院学习委员会由谁组成？	启明学院学习委员会由谁组成？	93	
启明学院学习委员会的职责是？	启明学院学习委员会的职责是？	94	
启明学院第一届学习委员会有谁？	启明学院第一届学习委员会有谁？	95	
启明学院第二届学习委员会有谁？	启明学院第二届学习委员会有谁？	96	
启明学院校企合作委员会的职责	启明学院校企合作委员会的职责	97	
启明学院永久名誉院长	启明学院永久名誉院长	98	
启明学院有校训吗	启明学院校训	99	
启明学院校训	启明学院校训	99	
启明学院有办学理念吗	启明学院办学理念	100	
启明学院办学理念	启明学院办学理念	100	
启明学院学术机构	启明学院学术机构	101	
华中科技大学特优生第一届创新年会举办时间	华中科技大学特优生第一届创新年会举办时间	102	
第一届启明创新团队联盟	第一届启明创新团队联盟	103	
如何将华中科技大学启明学院官网加入收藏	如何将华中科技大学启明学院官网加入收藏	104	
启明学院的别名	华中科技大学启明学院的英文全称叫什么	105	
华中科技大学启明学院的英文全称叫什么	华中科技大学启明学院的英文全称叫什么	105	
如何联系启明学院院长	华中科技大学启明学院院长信箱	106	
华中科技大学启明学院院长信箱	华中科技大学启明学院院长信箱	106	
李培根	李培根	107	
启明学院设有哪些社会公益服务项目？	启明学院设有哪些社会公益服务项目？	108	
启明学院的人才培养对象是什么？	启明学院的人才培养对象是什么？	109	
启明学院为创新创业团队和实验班提供什么资源？	启明学院为创新创业团队和实验班提供什么资源？	110	
启明学院为学生提供了什么	启明学院为学生课程训练提供什么资源？	111	
启明学院为学生课程训练提供什么资源？	启明学院为学生课程训练提供什么资源？	111	
启明学院接待有人数要求吗？	启明学院接待有人数要求吗？	112	
如何走访启明学院	启明学院的接待流程是怎么样的？	113	
启明学院的接待流程是怎么样的？	启明学院的接待流程是怎么样的？	113	
Dian团队的创始人	刘玉	114	
刘玉	刘玉	114	
美国斯坦福大学课程	美国斯坦福大学课程	115	
美国加州大学伯克力分校的课程	美国加州大学伯克力分校的课程	116	
美国哈佛大学暑期课程	美国哈佛大学暑期课程	117	
英国曼彻斯特大学暑期课程	英国曼彻斯特大学暑期课程	118	
启明学院的密苏里科技大学EMC实验室暑期实习项目	启明学院的密苏里科技大学EMC实验室暑期实习项目	119	
休斯敦大学ECE系暑期实习项目	休斯敦大学ECE系暑期实习项目	120	
罗斯豪曼科技夏令营	罗斯豪曼科技夏令营	121	
韩青江	韩青江	122	
